이름,주의사항,성분
10종혼합유산균디아이(DI)-3000,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
17종혼합유산균디아이(DI)-2200,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
17종혼합유산균디아이(DI)2-3000,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
19종혼합유산균디아이(DI)2-2700,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
프롬바이오 비타민C 1000,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 C(고시형), 안나토색소, 이산화규소, 글리세린지방산에스테르혼합제제용액, 칼슘(고시형), 마그네슘(고시형), 올리고당, 히드록시프로필메틸셀룰로스"
락티브 탑브레인 HX106,"1) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
2) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 
3) 임산부 및 수유부는 섭취에 주의하십시오.
4) 흡습의 우려가 있으니 개봉한 제품은 바로 섭취하시기 바랍니다.","천마 등 복합추출물(HX106)(기능성원료인정제2015-17호), 식물성크림, 혼합제제, 코코아분말, 에리스리톨, 덱스트린, 효소처리스테비아, 이산화규소, 코코아맛분말, 건조효모(셀렌함유), 산화아연"
닥터오라클 비타민C 파우더 1000mg,#NAME?,비타민C(고시형)
에너지 업 10 Energy Up Ten,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
이상사례 발생시 섭취를 중단하고 전문가와 상담하십시오.
어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.
제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.","마늘(고시형), 코엔자임 Q10(고시형), 비타민 B1(고시형), 판토텐산칼슘(고시형), 비타민 B6(고시형), 니코틴산아미드(고시형), 비타민 B2(고시형), 비타민 B12(고시형), 산화아연(고시형), 엽산(고시형), 카카오색소, D-소비톨액, 글리세린, 젤라틴, 결정셀룰로스, 포도씨앗유, 덱스트린, 칼슘(고시형), 카복시메틸셀룰로스칼슘, 칼슘(고시형), 프탈산히드록시프로필메틸셀룰로스, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘(고시형), 밀납(백납), 이산화규소, 글리세린지방산에스테르혼합제제용액, 후추추출물, 매실농축분말"
단비 100억 유산균 베이비,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것

(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","산화아연(고시형), 프로바이오틱스(고시형), 비타민 D(고시형), 유산균배양건조물, 대나무수액, 목화씨기름, 혼합분유, 이소말트, 프락토올리고당, 용설란분말, 아카시아검(고시형), 비타민 C, 비타민 A 혼합제제, 비타민 B1염산염, 비타민 B2, 비타민 B6 염산염"
안국 비타민D3 1000IU,"섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 
섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.
개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오.
섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오.
이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.","비타민D3혼합제제, 결정셀룰로스, 유당분말, 카나우바왁스, 옥수수단백추출물분말"
16종혼합유산균디아이(DI)-2800,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
19종혼합유산균디아이(DI)젠-2700,"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",유산균혼합분말
리얼그램 유기농 100% 밀크씨슬B셀렌,"① 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
② 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
③ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
④ 알레르기 반응이 나타나는 경우에는 섭취 중단
⑤ 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
➅ 어린이, 임산부 및 수유부는 섭취를 피할 것","밀크씨슬(카르두스 마리아누스) 추출물(고시형), 건조효모(셀렌함유), 건조효모, 과일채소혼합분말, 베리혼합분말, 포도당, 쌀겨추출분말, 과일채소혼합분말"
장앤 19종 종합유산균,"(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Lactiplantibacillus plantarum(고시형), 글루콘산아연(고시형), 프로바이오틱스(고시형), 히드록시프로필메틸셀룰로스, 효소혼합분말, 갈락토올리고당, 자일로올리고당, 치커리뿌리추출물, 난소화성말토덱스트린분말(고시형), 결정셀룰로스, 유당, 프락토올리고당, 유산균배양건조물, 대나무수액, 목화씨앗유, 쌀발효분말, 알로에베라(고시형)"
젊음愛 코큐텐100 부스터,① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함,"비타민 C(고시형), 코엔자임 Q10(고시형), D-알파-토코페롤(고시형), 셀레늄(고시형), 안나토색소, D-소비톨액, 글리세린, 젤라틴, 카카오색소, 콩기름(대두유), 밀납, 레시틴, 효소처리루틴"
Calcium Plus® 1000(전량수출용),"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 D3(고시형), 산화마그네슘(고시형), 탄산칼슘(고시형), 이산화규소, 글리세린지방산에스테르혼합제제용액, 가교카복시메틸셀룰로스나트륨, 결정셀룰로스, 스테아린산마그네슘, 히드록시프로필메틸셀룰로스, 이산화티타늄, 카복시메틸스타치나트륨, 히드록시프로필셀룰로스"
데이랩 100억 프로바이오틱스 면역&유산균,"* 프로바이오틱스
① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Bifidobacterium bifidum(고시형), 프로바이오틱스(고시형), 산화아연(고시형), Lacticaseibacillus casei(고시형), Streptococcus thermophilus(고시형), Lactobacillus acidophilus(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lactiplantibacillus plantarum(고시형), Lacticaseibacillus rhamnosus(고시형), Lactiplantibacillus plantarum(고시형), Lactobacillus gasseri(고시형), 히드록시프로필메틸셀룰로스, Bacillus coagulans, 유청단백분말, L-프롤린, 대나무수액, 아미노산혼합분말, 치커리식이섬유, 자일로올리고당, 갈락토올리고당, 유청칼슘, 중쇄중성지방유, 이소말트, 아라비아검, 밀식이섬유(고시형), 프락토올리고당, 난소화성말토덱스트린(고시형)"
맘스포뮬러 1단계,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정하여야 함
[크롬]
② 당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
③ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[판토텐산/비타민B1/비오틴/비타민B2/비타민B12]
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
[비타민D]
⑤ 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
⑥ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","메틸테트라히드로엽산글루코사민, 비타민C(고시형), 셀레늄(고시형), 비타민 E(고시형), 니코틴산아미드(고시형), 크롬(고시형), 산화아연(고시형), 몰리브덴(고시형), 비타민 B6(고시형), 황산망간(고시형), 글루콘산동(고시형), 판토텐산칼슘(고시형), 비타민 D(고시형), 비타민B1염산염(고시형), 비오틴(고시형), 비타민B2(고시형), 비타민B12(고시형), 해초분말, 결정셀룰로스, 산화마그네슘, 히드록시프로필메틸셀룰로스, 이산화규소, 스테아린산마그네슘, 이산화티타늄, 치자황색소, 글리세린지방산에스테르, 카복시메틸셀룰로스칼슘, 카민, 프로바이오틱스(고시형)"
코큐텐 100 mg (CoQ10 100 mg),"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
이상사례 발생 시, 섭취를 중단하고 전문가와 상담할 것
유통기한을 확인하시기 바라며, 임신/수유부, 특이/알레르기 체질, 질병 치료 시 의사와 먼저 상담 후 섭취","코엔자임Q10(고시형), 카라기난, 덱스트린, 글리세린, 카카오색소, 정제수, 변성전분, 해바라기유, 밀납(백납), 레시틴"
홍잇 홍삼 101,"1. 당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
2. 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
3. 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 자몽종자추출물, 프락토올리고당, 물엿, 식물혼합농축액"
프리벤트라 액티브 엽산 비타민B6·B12,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 B6(고시형), 엽산(고시형), 비타민 B12(고시형), 치커리뿌리추출물, 덱스트린, 칼슘(고시형), 목화씨앗유, 기타엿, 옥수수단백추출물"
닥터오라클 프리미엄 프로바이오틱스 100억 CFU,"* 프로바이오틱스
① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Limosilactobacillus reuteri(고시형), Lacticaseibacillus rhamnosus(고시형), Lactobacillus gasseri(고시형), Lactiplantibacillus plantarum(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lactobacillus acidophilus(고시형), Bifidobacterium bifidum(고시형), Bifidobacterium longum(고시형), 히드록시프로필메틸셀룰로스, 프락토올리고당, 중쇄중성지방유, 쌀단백분말, 대나무수액"
